netusoft,nwsptot,ppltrst,rdtot,tvtot,actrolga,dclcrm,dclmig,dmcntov,euftf,gincdif,ideo_fcz,ideo,imbgeco,stfgov,aesfdrk,atchctr,atcherp,dscrgnd,happy,rlgdgr,sclmeet,origfcz,iplylfra,impenva,impfreea,impricha,imptrada,ipmodsta,ipudrsta
5.0,1.0,6,7.0,2.0,2.0,1.0,3.0,7.0,2.0,1,2,Socialdemócrata,6,4.0,2,10.0,7.0,0,10,7,6,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
1.0,1.0,3,7.0,7.0,1.0,1.0,3.0,8.0,5.0,3,2,Socialdemócrata,5,5.0,2,10.0,9.0,0,8,3,2,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,4,1.0,7.0,2.0,1.0,1.0,8.0,5.0,3,2,Socialdemócrata,5,8.0,2,10.0,7.0,0,9,4,7,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,5,7.0,2.0,2.0,1.0,3.0,8.0,7.0,3,3,ExtremaDerecha,5,2.0,1,10.0,7.0,0,9,9,4,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
2.0,1.0,5,7.0,7.0,1.0,1.0,3.0,8.0,5.0,2,1,SocialComunista,4,3.0,3,8.0,4.0,0,3,3,2,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
2.0,1.0,9,7.0,7.0,1.0,1.0,3.0,8.0,6.0,1,2,Socialdemócrata,9,5.0,2,0.0,0.0,0,10,5,6,1,3.0,3.0,3.0,2.0,2.0,5.0,3.0
5.0,2.0,5,7.0,4.0,2.0,1.0,3.0,8.0,7.0,2,3,ExtremaDerecha,5,5.0,2,10.0,7.0,0,8,2,6,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,5,7.0,7.0,3.0,1.0,3.0,8.0,8.0,2,1,SocialComunista,8,9.0,1,10.0,8.0,0,9,3,7,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,6,7.0,7.0,2.0,1.0,3.0,8.0,6.0,1,3,ExtremaDerecha,1,1.0,2,10.0,7.0,0,7,10,2,2,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,0.0,5,1.0,2.0,2.0,1.0,3.0,8.0,5.0,1,3,ExtremaDerecha,1,0.0,1,10.0,7.0,0,6,1,3,3,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,2.0,1,7.0,2.0,2.0,3.0,1.0,8.0,5.0,2,1,SocialComunista,1,2.0,2,10.0,7.0,0,5,8,2,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
2.0,1.0,8,7.0,7.0,1.0,1.0,3.0,8.0,10.0,2,1,SocialComunista,8,7.0,2,10.0,10.0,0,9,9,3,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,3.0,8,3.0,7.0,2.0,1.0,3.0,8.0,5.0,1,2,Socialdemócrata,8,5.0,1,10.0,7.0,0,7,5,7,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,6,7.0,7.0,1.0,1.0,3.0,8.0,5.0,2,2,Socialdemócrata,3,2.0,3,5.0,5.0,0,9,0,6,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,5,7.0,7.0,1.0,1.0,3.0,8.0,5.0,2,2,Socialdemócrata,5,0.0,2,7.0,5.0,0,7,4,6,2,2.0,2.0,2.0,5.0,2.0,2.0,2.0
2.0,1.0,0,7.0,7.0,1.0,1.0,3.0,8.0,4.0,2,2,Socialdemócrata,5,9.0,3,10.0,7.0,0,9,7,6,1,1.0,2.0,3.0,6.0,2.0,1.0,2.0
5.0,1.0,4,7.0,7.0,2.0,1.0,3.0,8.0,5.0,3,2,Socialdemócrata,7,3.0,1,6.0,4.0,0,8,1,7,3,2.0,2.0,1.0,2.0,3.0,3.0,2.0
5.0,2.0,6,0.0,2.0,2.0,1.0,3.0,8.0,8.0,2,2,Socialdemócrata,7,6.0,1,10.0,7.0,0,8,6,6,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,7,7.0,7.0,2.0,1.0,3.0,8.0,7.0,3,2,Socialdemócrata,6,7.0,3,8.0,7.0,0,9,6,6,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,2,7.0,7.0,1.0,1.0,3.0,8.0,2.0,2,1,SocialComunista,7,5.0,1,7.0,7.0,0,8,10,7,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,4,7.0,7.0,5.0,1.0,3.0,8.0,4.0,4,2,Socialdemócrata,5,7.0,1,5.0,5.0,0,8,3,4,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,4,7.0,2.0,2.0,1.0,3.0,8.0,5.0,5,2,Socialdemócrata,5,7.0,2,10.0,7.0,0,9,0,5,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
5.0,1.0,0,7.0,7.0,2.0,1.0,3.0,8.0,4.0,4,2,Socialdemócrata,6,3.0,2,4.0,3.0,0,3,0,4,1,2.0,2.0,2.0,5.0,2.0,2.0,2.0
