pplfair,pplhlp,ppltrst,euftf,gincdif,polintr,stfeco,stfedu,stfgov,stfhlth,stflife,trstplc,trstplt,trstun,imbgeco,atcherp,happy,rlgdgr,sclmeet,ccnthum,impenva,impfreea,impricha,impsafea,imptrada,ipcrtiva,ipeqopta,iplylfra,ipmodsta,ipudrsta,P_fc,ideo_fc
5,5,5,10,1,1,0,0,0,0,5,0,0,10,0,10,8,0,7,5,1,4,5,1,1,2,3,1,1,1,37,2
5,7,5,2,1,3,2,4,1,4,5,5,2,5,2,5,5,0,4,3,1,1,4,1,3,3,1,1,2,1,5,2
3,1,3,5,1,4,2,6,2,1,5,4,1,2,6,4,3,0,2,5,2,2,4,4,6,4,2,2,2,3,27,0
3,3,5,5,3,4,5,10,5,10,5,10,10,0,5,5,5,0,7,2,2,2,5,2,2,2,1,2,2,2,6,2
6,6,5,0,2,3,2,3,0,6,10,10,0,0,4,0,9,5,4,4,2,2,5,2,3,2,2,2,1,2,14,3
8,7,4,5,1,4,3,1,2,1,4,6,2,5,3,0,4,0,7,55,4,1,2,5,5,1,1,2,4,4,20,2
2,6,2,4,2,3,3,3,1,3,4,1,1,0,1,10,2,4,2,5,1,4,5,2,4,4,5,2,5,4,29,2
8,8,3,0,2,2,4,5,0,3,4,0,2,6,6,0,4,4,6,3,1,1,3,3,1,2,3,1,3,2,2,3
4,2,4,1,2,3,2,2,5,4,6,4,0,1,5,6,6,5,5,3,1,3,5,2,3,3,3,1,1,3,14,2
6,8,4,2,1,4,0,0,0,2,5,3,1,1,0,0,5,4,1,1,2,4,2,3,2,4,1,2,2,2,8,1
0,0,0,10,1,2,0,10,0,0,10,10,0,0,0,10,10,0,5,5,2,2,3,1,1,2,3,2,3,3,27,3
5,2,2,5,1,4,3,0,2,0,5,6,1,0,2,7,5,7,2,3,2,1,5,1,2,3,1,2,2,1,11,2
6,3,2,5,2,3,2,5,2,2,5,5,0,5,5,0,4,5,4,5,3,2,4,3,2,2,1,3,3,3,4,0
1,5,1,5,1,4,1,1,1,1,1,10,1,10,1,9,1,10,2,4,1,5,5,2,1,4,5,5,5,5,33,2
2,2,1,5,1,2,3,3,0,3,1,0,0,2,4,10,9,2,5,4,1,1,6,1,2,3,1,2,1,1,5,2
0,0,0,0,1,1,0,0,0,0,0,10,0,0,0,0,5,10,5,5,1,5,5,2,1,5,1,2,1,4,14,3
6,5,5,5,2,3,5,5,5,5,5,5,5,5,5,10,2,5,4,5,4,4,5,5,4,3,5,4,4,5,6,2
0,0,0,5,1,3,4,6,5,6,6,5,3,5,5,10,5,3,4,5,1,4,1,1,1,1,1,1,6,1,5,1
10,10,0,5,1,2,5,10,5,10,10,10,10,10,10,10,10,5,5,3,2,2,5,2,2,2,2,2,2,2,5,0
3,5,6,5,3,3,2,6,2,6,5,5,4,6,5,10,8,0,6,55,1,1,4,2,3,1,4,3,1,2,4,2
6,5,5,5,3,3,6,4,4,5,6,4,3,6,4,7,6,5,4,3,5,3,5,3,4,5,4,3,5,5,33,2
8,4,2,5,2,3,0,2,0,2,0,6,0,2,0,1,10,6,6,55,1,1,6,1,3,4,3,2,1,4,6,0
2,1,1,2,1,3,2,2,1,2,5,0,1,2,2,5,2,4,4,5,3,4,4,4,3,3,3,3,3,4,14,2
4,4,4,3,5,2,0,2,2,0,3,5,0,3,5,10,5,2,6,55,2,2,4,2,3,1,2,2,5,2,6,1
6,3,4,4,2,3,1,5,2,2,6,3,1,4,4,1,7,4,2,5,1,1,1,2,5,1,1,2,4,3,26,2
5,3,1,4,1,1,2,3,5,4,4,5,6,6,1,0,3,7,7,5,3,2,1,2,2,1,1,2,2,3,1,0
8,8,2,5,2,1,3,4,5,6,5,3,1,4,4,0,5,4,2,2,2,1,4,1,1,2,2,3,2,3,5,2
4,4,3,2,2,4,4,5,3,4,6,5,0,0,5,0,8,6,7,5,2,2,4,1,2,2,1,2,4,3,19,2
4,7,4,3,2,2,4,6,3,6,5,5,3,4,4,3,5,4,4,3,3,5,5,3,2,3,3,2,3,3,2,2
