pplfair,pplhlp,ppltrst,rdtot,tvtot,euftf,gincdif,polintr,stfeco,stfedu,stfgov,stfhlth,stflife,trstplc,trstplt,trstun,imbgeco,aesfdrk,atcherp,happy,health,inprdsc,rlgdgr,sclmeet,ccnthum,impenva,impfreea,impfuna,impricha,impsafea,imptrada,ipadvnta,ipcrtiva,ipeqopta,iplylfra,ipmodsta,ipudrsta,P_fc,GroupCntry
5,5,5,0,6,10,1,1,0,0,0,0,5,0,0,10,0,3,10,8,2,4,0,7,5,1,4,1,5,1,1,6,2,3,1,1,1,37,3
5,7,5,6,2,2,1,3,2,4,1,4,5,5,2,5,2,3,5,5,3,4,0,4,3,1,1,4,4,1,3,4,3,1,1,2,1,5,0
3,1,3,0,7,5,1,4,2,6,2,1,5,4,1,2,6,3,4,3,4,0,0,2,5,2,2,3,4,4,6,1,4,2,2,2,3,27,1
3,3,5,3,7,5,3,4,5,10,5,10,5,10,10,0,5,3,5,5,1,3,0,7,2,2,2,2,5,2,2,5,2,1,2,2,2,6,2
6,6,5,5,5,0,2,3,2,3,0,6,10,10,0,0,4,1,0,9,1,0,5,4,4,2,2,3,5,2,3,4,2,2,2,1,2,14,2
8,7,4,0,5,5,1,4,3,1,2,1,4,6,2,5,3,1,0,4,2,2,0,7,55,4,1,2,2,5,5,3,1,1,2,4,4,20,0
2,6,2,4,4,4,2,3,3,3,1,3,4,1,1,0,1,3,10,2,3,1,4,2,5,1,4,4,5,2,4,3,4,5,2,5,4,29,3
8,8,3,4,4,0,2,2,4,5,0,3,4,0,2,6,6,2,0,4,3,3,4,6,3,1,1,2,3,3,1,2,2,3,1,3,2,2,4
4,2,4,0,4,1,2,3,2,2,5,4,6,4,0,1,5,2,6,6,3,2,5,5,3,1,3,3,5,2,3,3,3,3,1,1,3,14,2
6,8,4,0,5,2,1,4,0,0,0,2,5,3,1,1,0,3,0,5,2,2,4,1,1,2,4,5,2,3,2,5,4,1,2,2,2,8,4
0,0,0,1,3,10,1,2,0,10,0,0,10,10,0,0,0,3,10,10,1,0,0,5,5,2,2,3,3,1,1,3,2,3,2,3,3,27,1
5,2,2,7,5,5,1,4,3,0,2,0,5,6,1,0,2,3,7,5,4,0,7,2,3,2,1,2,5,1,2,5,3,1,2,2,1,11,1
6,3,2,1,3,5,2,3,2,5,2,2,5,5,0,5,5,2,0,4,3,2,5,4,5,3,2,4,4,3,2,5,2,1,3,3,3,4,3
1,5,1,0,0,5,1,4,1,1,1,1,1,10,1,10,1,4,9,1,3,2,10,2,4,1,5,5,5,2,1,5,4,5,5,5,5,33,4
2,2,1,3,5,5,1,2,3,3,0,3,1,0,0,2,4,2,10,9,4,5,2,5,4,1,1,3,6,1,2,6,3,1,2,1,1,5,0
0,0,0,4,2,0,1,1,0,0,0,0,0,10,0,0,0,4,0,5,5,4,10,5,5,1,5,6,5,2,1,6,5,1,2,1,4,14,2
6,5,5,2,3,5,2,3,5,5,5,5,5,5,5,5,5,3,10,2,3,3,5,4,5,4,4,4,5,5,4,4,3,5,4,4,5,6,2
0,0,0,1,3,5,1,3,4,6,5,6,6,5,3,5,5,2,10,5,2,2,3,4,5,1,4,4,1,1,1,4,1,1,1,6,1,5,4
10,10,0,0,4,5,1,2,5,10,5,10,10,10,10,10,10,3,10,10,2,6,5,5,3,2,2,3,5,2,2,5,2,2,2,2,2,5,4
3,5,6,4,3,5,3,3,2,6,2,6,5,5,4,6,5,2,10,8,1,3,0,6,55,1,1,5,4,2,3,6,1,4,3,1,2,4,3
6,5,5,0,2,5,3,3,6,4,4,5,6,4,3,6,4,2,7,6,3,1,5,4,3,5,3,2,5,3,4,6,5,4,3,5,5,33,1
8,4,2,0,0,5,2,3,0,2,0,2,0,6,0,2,0,3,1,10,2,2,6,6,55,1,1,1,6,1,3,6,4,3,2,1,4,6,2
2,1,1,5,4,2,1,3,2,2,1,2,5,0,1,2,2,2,5,2,2,2,4,4,5,3,4,3,4,4,3,3,3,3,3,3,4,14,2
4,4,4,0,2,3,5,2,0,2,2,0,3,5,0,3,5,2,10,5,2,4,2,6,55,2,2,2,4,2,3,3,1,2,2,5,2,6,2
6,3,4,0,2,4,2,3,1,5,2,2,6,3,1,4,4,2,1,7,2,2,4,2,5,1,1,3,1,2,5,2,1,1,2,4,3,26,4
5,3,1,1,6,4,1,1,2,3,5,4,4,5,6,6,1,1,0,3,4,5,7,7,5,3,2,3,1,2,2,3,1,1,2,2,3,1,0
8,8,2,1,3,5,2,1,3,4,5,6,5,3,1,4,4,1,0,5,1,3,4,2,2,2,1,2,4,1,1,2,2,2,3,2,3,5,0
4,4,3,2,4,2,2,4,4,5,3,4,6,5,0,0,5,2,0,8,2,1,6,7,5,2,2,2,4,1,2,4,2,1,2,4,3,19,1
4,7,4,0,4,3,2,2,4,6,3,6,5,5,3,4,4,2,3,5,3,4,4,4,3,3,5,3,5,3,2,5,3,3,2,3,3,2,0
6,4,2,4,7,0,1,4,0,5,0,6,10,0,0,0,5,2,0,10,2,1,6,1,4,1,4,6,5,1,1,6,4,1,1,1,5,14,2
4,2,1,0,1,3,1,1,1,3,4,0,1,2,1,5,5,2,0,0,5,1,0,1,1,1,2,1,5,1,1,8,1,1,1,2,2,11,1
6,8,3,2,6,3,1,3,5,3,3,10,10,10,0,3,5,2,5,6,3,1,0,4,4,2,6,3,4,2,6,5,2,2,2,3,3,8,0
4,3,6,3,4,5,2,3,1,6,3,4,3,4,4,4,3,4,0,7,2,1,7,4,5,1,2,1,2,1,1,5,3,2,1,2,1,29,3
5,4,5,0,1,5,1,3,5,4,4,5,5,4,3,4,6,2,8,5,3,2,6,3,5,1,1,3,5,1,2,6,1,2,1,2,4,4,3
0,0,0,0,2,0,1,4,0,0,0,0,0,0,0,0,0,3,0,5,3,1,0,7,4,1,2,6,4,2,3,4,2,1,2,2,3,6,2
7,2,3,1,3,5,5,3,2,3,2,3,6,2,0,0,1,2,10,3,3,0,7,2,5,3,3,2,3,2,2,6,2,2,1,2,5,13,3
2,3,2,0,2,6,1,4,3,3,1,3,4,0,0,0,5,3,10,4,3,4,6,3,4,2,2,2,5,2,2,5,2,2,2,4,3,27,1
2,2,2,6,4,5,2,4,1,3,0,3,5,2,0,3,1,2,0,7,2,3,7,2,5,1,2,2,4,1,1,5,1,3,2,3,3,2,0
