País,Inflación_Float,PPC_INTEGER,SBMM_Float
Dinamarca,-3.8,68.0,3573.0
Unión Europea,6.4,41.0,2194.0
Luxemburgo,3.4,129.0,3713.0
Irlanda,3.6,104.0,3051.0
Chipre,3.8,37.0,1359.0
Finlandia,3.9,53.0,2678.0
Bélgica,4.5,55.0,3007.0
Francia,5.3,45.0,2574.0
Malta,5.3,40.0,1354.0
Italia,5.8,39.0,2174.0
Grecia,5.9,23.0,1049.0
Alemania,6.1,54.0,3148.0
Suecia,6.1,56.0,2604.0
España,6.2,34.0,1822.0
Letonia,6.4,23.0,978.0
Austria,6.6,56.0,2964.0
Portugal,6.9,27.0,1154.0
Países Bajos,7.3,65.0,2964.0
Bulgaria,8.0,16.0,650.0
Estonia,8.1,30.0,1123.0
República Checa,8.2,32.0,1208.0
Lituania,9.0,28.0,1110.0
Polonia,9.5,22.0,941.0
Eslovenia,10.1,33.0,1503.0
República Eslovaca,10.1,24.0,1046.0
Croacia,11.7,22.0,903.0
Rumania,12.8,18.0,796.0
Hungría,14.7,22.0,852.0
