cntry,netusoft,nwsptot,ppltrst,rdtot,tvtot,actrolga,bctprd,dclagr,dclaid,dclcrm,dclenv,dclmig,dclwlfr,dmcntov,euftf,gincdif,ginveco,lawobey,lrscale,polintr,stfeco,stfedu,stfgov,stfhlth,stflife,trstplc,trstplt,trstun,trstsci,imbgeco,aesfdrk,atchctr,atcherp,blgetmg,dscrgnd,dscrrlg,happy,health,inprdsc,rlgdgr,sclmeet,ccnthum,vteumbgb,impenva,impfreea,impfuna,impricha,impsafea,imptrada,ipadvnta,ipcrtiva,iplylfra,ipmodsta,ipudrsta,cntryfcz,origfcz,orig
Ucrania,5.0,1.0,8,7.0,7.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,7.0,8.0,2,4.0,2.0,8,3,7,7,7.0,6,8,7,6,5,8.0,6,3,10.0,7.0,2.0,0,0,7,3,3.0,5,4,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,26,1,Nacional
Belgica,5.0,1.0,5,1.0,6.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,3.0,1,4.0,2.0,0,2,8,2,5.0,10,10,8,5,3,8.0,0,2,10.0,7.0,2.0,0,0,10,2,4.0,10,6,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,1,3,Extranjero
Inglaterra,5.0,1.0,5,7.0,7.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,5.0,4,4.0,2.0,8,3,5,5,7.0,9,9,8,4,5,9.0,7,1,6.0,5.0,2.0,0,0,8,3,2.0,0,6,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,9,1,Nacional
Grecia,5.0,1.0,4,7.0,7.0,3.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,6.0,1,4.0,2.0,2,3,3,2,1.0,3,8,6,2,3,10.0,3,3,10.0,8.0,2.0,0,0,7,2,1.0,5,3,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,10,1,Nacional
Inglaterra,5.0,2.0,5,2.0,4.0,2.0,2,3.0,1.0,3.0,1.0,2.0,3.0,8.0,5.0,2,3.0,2.0,6,2,6,6,5.0,5,6,7,4,5,8.0,3,3,10.0,7.0,2.0,0,0,7,2,4.0,3,6,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,9,1,Nacional
Suecia,5.0,2.0,7,6.0,5.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,4.0,1,4.0,2.0,2,2,1,3,3.0,4,4,8,5,7,8.0,6,2,10.0,7.0,2.0,0,0,7,2,4.0,2,5,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,20,1,Nacional
Polonia,5.0,1.0,7,7.0,6.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,2.0,1,4.0,2.0,5,2,5,5,5.0,5,5,8,1,5,8.0,5,2,10.0,7.0,2.0,0,0,10,1,1.0,8,4,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,18,1,Nacional
Noruega,5.0,2.0,8,2.0,4.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,8.0,3,4.0,2.0,8,1,10,3,5.0,8,9,8,6,7,8.0,7,1,10.0,7.0,2.0,0,0,8,2,4.0,2,5,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,17,1,Nacional
Alemania,5.0,1.0,8,7.0,7.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,1.0,3,4.0,2.0,7,2,3,3,1.0,2,10,9,0,7,8.0,3,1,9.0,3.0,2.0,0,0,9,1,3.0,1,7,2.0,1.0,1.0,1.0,5.0,4.0,1.0,3.0,6.0,4.0,1.0,2.0,2.0,4,1,Nacional
España,5.0,2.0,7,7.0,7.0,2.0,1,3.0,3.0,3.0,3.0,3.0,3.0,8.0,5.0,2,5.0,2.0,4,3,4,7,3.0,1,7,4,8,5,8.0,3,3,10.0,7.0,2.0,0,0,7,4,4.0,3,6,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,6,1,Nacional
Holanda,5.0,1.0,6,2.0,7.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,5.0,3,4.0,2.0,5,4,5,6,6.0,5,10,7,7,6,8.0,6,2,10.0,7.0,2.0,0,0,10,2,4.0,8,6,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,16,1,Nacional
Belgica,5.0,0.0,8,0.0,7.0,2.0,1,3.0,1.0,1.0,1.0,3.0,3.0,8.0,5.0,3,4.0,2.0,5,1,8,8,8.0,9,9,4,6,5,8.0,10,4,10.0,7.0,2.0,0,0,9,3,4.0,0,7,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,1,1,Nacional
Holanda,5.0,1.0,7,7.0,7.0,2.0,1,3.0,1.0,1.0,1.0,3.0,3.0,8.0,5.0,2,4.0,2.0,3,2,7,7,7.0,8,8,7,6,6,8.0,6,1,7.0,8.0,2.0,0,0,8,2,5.0,0,7,5.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,16,2,Mixto
Grecia,5.0,1.0,5,7.0,7.0,1.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,4.0,2,4.0,2.0,4,4,4,4,4.0,4,7,5,4,3,3.0,4,4,10.0,5.0,2.0,0,0,5,1,1.0,5,4,3.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,10,1,Nacional
Macedonia,5.0,1.0,7,7.0,7.0,5.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,5.0,1,4.0,2.0,8,2,10,9,8.0,9,8,9,9,10,8.0,6,1,4.0,7.0,2.0,0,0,6,1,1.0,7,4,3.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,38,1,Nacional
Holanda,5.0,0.0,3,2.0,4.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,5.0,4,4.0,2.0,7,2,3,6,6.0,4,7,6,5,4,8.0,5,2,10.0,7.0,2.0,0,0,7,2,4.0,3,6,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,16,1,Nacional
Finlandia,5.0,2.0,5,7.0,2.0,2.0,1,4.0,1.0,3.0,4.0,4.0,3.0,8.0,5.0,2,5.0,4.0,7,2,3,9,5.0,4,8,4,6,9,8.0,8,1,10.0,7.0,2.0,0,0,8,4,4.0,2,6,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,7,1,Nacional
Chequia,5.0,1.0,3,7.0,7.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,2.0,2,4.0,2.0,5,3,4,7,4.0,4,8,2,2,2,8.0,6,2,10.0,7.0,2.0,0,0,9,1,4.0,0,4,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,3,1,Nacional
Turquia,5.0,0.0,1,0.0,1.0,2.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,5.0,1,4.0,2.0,6,3,0,0,0.0,0,2,0,0,5,8.0,5,3,10.0,7.0,2.0,0,0,2,2,4.0,5,3,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,25,1,Nacional
Noruega,5.0,1.0,9,7.0,7.0,4.0,2,3.0,1.0,1.0,1.0,3.0,3.0,8.0,0.0,3,4.0,2.0,5,2,9,8,8.0,8,9,10,7,8,8.0,7,1,10.0,3.0,2.0,0,0,10,2,3.0,0,6,4.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,17,3,Extranjero
