"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","polintr","psppsgva","actrolga","psppipla","cptppola","trstprl","trstlgl","trstplc","trstplt","trstprt","trstep","trstun","vote","prtvtdat","prtvtebe","prtvtchr","prtvtccy","prtvtffi","prtvtffr","prtvgde1","prtvgde2","prtvtegr","prtvthhu","prtvteis","prtvteie","prtvteit","prtvclt1","prtvclt2","prtvclt3","prtvtinl","prtvtcno","prtvtfpl","prtvtept","prtvtbrs","prtvtesk","prtvtgsi","prtvtges","prtvtdse","prtvthch","prtvtdgb","contplt","donprty","badge","sgnptit","pbldmna","bctprd","pstplonl","volunfp","clsprty","prtcleat","prtclebe","prtclbhr","prtclccy","prtclgfi","prtclgfr","prtclgde","prtclegr","prtclihu","prtcleis","prtclfie","prtclfit","prtclclt","prtclhnl","prtclcno","prtcljpl","prtclgpt","prtclbrs","prtclesk","prtclgsi","prtcldse","prtclhch","prtcldgb","prtdgcl","lrscale","stflife","stfeco","stfgov","stfdem","stfedu","stfhlth","gincdif","freehms","hmsfmlsh","hmsacld","euftf","lrnobed","loylead","imsmetn","imdfetn","impcntr","imbgeco","imueclt","imwbcnt","happy","sclmeet","inprdsc","sclact","crmvct","aesfdrk","health","hlthhmp","atchctr","atcherp","rlgblg","rlgdnm","rlgblge","rlgdnme","rlgdgr","rlgatnd","pray","dscrgrp","dscrrce","dscrntn","dscrrlg","dscrlng","dscretn","dscrage","dscrgnd","dscrsex","dscrdsb","dscroth","dscrdk","dscrref","dscrnap","dscrna","ctzcntr","brncntr","cntbrthd","livecnta","lnghom1","lnghom2","feethngr","facntr","fbrncntc","mocntr","mbrncntc","ccnthum","ccrdprs","wrclmch","vteurmmb","vteubcmb","ipcrtiva","impricha","ipeqopta","ipshabta","impsafea","impdiffa","ipfrulea","ipudrsta","ipmodsta","ipgdtima","impfreea","iphlppla","ipsucesa","ipstrgva","ipadvnta","ipbhprpa","iprspota","iplylfra","impenva","imptrada","impfuna","prob","stratum","psu"
"ESS11e02",11,"2.0","20.11.2024",50017,"ES",0.8928074,0.7921172,2.2531533,1.7847614,3,1,3,1,2,4,2,5,4,3,5,7,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,6,0,7,5,5,5,4,4,4,2,4,2,4,3,5,1,2,2,5,6,7,6,7,5,4,1,2,3,3,4,4,1,1,6,66,4,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"6666",6666,"SPA","BAQ",1,1,"6666",1,"6666",3,4,3,1,,2,4,2,2,2,3,2,3,3,2,3,3,3,2,3,3,3,2,2,2,1,0.00012931871,331,4502
"ESS11e02",11,"2.0","20.11.2024",50032,"ES",0.9166024,0.99776864,2.2531533,2.2481256,3,3,2,3,3,10,8,9,7,6,8,9,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,2,2,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,2,8,10,8,8,8,7,8,1,1,5,1,10,2,2,3,3,3,8,10,8,8,4,4,5,2,2,2,3,8,7,1,1,6,66,8,3,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"6666",6666,"SPA","000",1,1,"6666",1,"6666",3,10,3,1,,1,2,1,1,1,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,1,0.00012596158,310,4096
"ESS11e02",11,"2.0","20.11.2024",50033,"ES",0.9166024,1.0126567,2.2531533,2.2816708,1,1,2,2,2,6,7,7,5,5,6,5,1,,,,,,,,,,,,,,,,,,,,,,,,4,,,,2,2,1,1,1,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,2,2,6,3,5,7,5,2,1,1,5,1,7,3,4,2,2,1,7,8,7,8,5,4,3,1,1,2,3,9,9,2,66,2,66,0,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"6666",6666,"SPA","000",1,2,"MA",1,"6666",4,9,5,1,,1,5,1,5,1,1,6,2,3,3,1,1,4,2,2,4,4,1,2,4,1,0.00012596158,310,4127
"ESS11e02",11,"2.0","20.11.2024",50037,"ES",1.0798284,1.1854422,2.2531533,2.670983,2,2,5,2,5,5,2,10,0,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,2,2,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,2,5,5,3,10,3,7,2,3,2,5,5,5,1,4,3,3,3,6,8,7,8,7,1,2,2,2,2,3,10,10,1,1,6,66,3,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"6666",6666,"SPA","000",1,1,"6666",1,"6666",3,3,3,1,,4,2,5,4,2,3,2,4,3,3,2,2,4,3,3,3,3,3,3,3,4,0.00010692133,280,4049
"ESS11e02",11,"2.0","20.11.2024",50052,"ES",0.970378,1.0149614,2.2531533,2.2868636,1,2,2,2,2,0,2,2,0,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,4,,,,2,2,2,2,2,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,6,5,4,1,0,0,2,3,4,2,5,3,5,3,4,4,4,4,3,5,4,5,5,4,2,1,2,2,3,10,3,1,1,6,66,7,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"6666",6666,"SPA","000",1,1,"6666",1,"6666",2,7,4,2,,3,3,1,2,2,2,5,2,2,2,3,1,3,2,3,4,5,2,2,3,2,0.00011898115,288,4081
"ESS11e02",11,"2.0","20.11.2024",50062,"ES",1.0092993,0.9004819,2.2531533,2.0289237,3,2,2,2,2,5,7,8,3,2,5,6,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,6,7,8,6,5,6,6,6,2,3,3,3,7,2,3,2,2,3,6,8,6,8,6,1,3,2,2,2,3,9,8,1,1,6,66,7,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"6666",6666,"SPA","000",1,1,"6666",1,"6666",4,5,3,1,,3,4,2,4,2,3,3,2,2,4,3,2,4,2,5,4,4,2,3,2,4,0.00011439292,281,4145
"ESS11e02",11,"2.0","20.11.2024",50066,"ES",1.0234654,1.1665488,2.2531533,2.6284134,2,2,2,1,1,5,8,10,5,5,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,66,,,,2,2,2,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,3,10,4,4,4,8,88,5,2,1,5,1,5,2,2,1,2,2,7,8,8,6,4,1,2,2,2,2,3,8,8,2,66,2,66,0,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,"RU",2000,"SPA","000",1,2,"RU",2,"RU",2,0,3,1,,2,5,1,5,2,2,1,2,2,4,2,2,4,2,6,2,1,1,1,3,2,0.00011280958,305,4308
"ESS11e02",11,"2.0","20.11.2024",50082,"ES",1.0012964,0.990506,2.2531533,2.2317617,3,1,2,1,2,0,5,5,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,66,,,,2,2,2,1,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,6,5,3,0,0,0,5,2,2,1,5,3,10,1,4,1,1,1,5,8,5,5,7,1,2,1,1,2,3,10,10,2,66,2,66,0,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"6666",6666,"SPA","000",1,1,"6666",1,"6666",3,5,3,1,,2,5,1,5,1,3,5,2,3,3,2,1,3,2,3,4,6,2,2,4,4,0.000115307215,319,4410
"ESS11e02",11,"2.0","20.11.2024",50086,"ES",1.0234654,1.002149,2.2531533,2.2579954,1,2,2,2,2,6,10,10,5,7,9,8,3,,,,,,,,,,,,,,,,,,,,,,,,66,,,,2,2,2,2,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,8,10,7,2,8,10,10,1,1,5,1,9,1,4,2,2,2,10,9,10,9,4,2,3,2,1,1,3,9,8,1,1,6,66,6,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,"CO",2006,"SPA","000",1,2,"CO",2,"CO",3,10,5,1,,1,1,1,1,2,2,1,1,1,1,1,2,1,1,3,1,2,1,1,1,2,0.00011280958,305,4321
"ESS11e02",11,"2.0","20.11.2024",50102,"ES",1.1356705,0.8250764,2.2531533,1.8590236,3,3,2,2,3,6,7,7,5,5,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,2,2,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,3,3,6,7,6,6,6,7,2,2,3,2,5,2,5,2,2,2,6,7,7,7,4,3,3,2,2,2,3,7,7,2,66,2,66,3,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"6666",6666,"SPA","000",1,1,"6666",1,"6666",3,6,3,1,,3,5,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,5,4,0.0001016639,304,4300
