"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","nwspol","netusoft","netustm","ppltrst","pplfair","pplhlp","polintr","psppsgva","actrolga","psppipla","cptppola","trstprl","trstlgl","trstplc","trstplt","trstprt","trstep","trstun","vote","prtvtdat","prtvtebe","prtvtchr","prtvtccy","prtvtffi","prtvtffr","prtvgde1","prtvgde2","prtvtegr","prtvthhu","prtvteis","prtvteie","prtvteit","prtvclt1","prtvclt2","prtvclt3","prtvtinl","prtvtcno","prtvtfpl","prtvtept","prtvtbrs","prtvtesk","prtvtgsi","prtvtges","prtvtdse","prtvthch","prtvtdgb","contplt","donprty","badge","sgnptit","pbldmna","bctprd","pstplonl","volunfp","clsprty","prtcleat","prtclebe","prtclbhr","prtclccy","prtclgfi","prtclgfr","prtclgde","prtclegr","prtclihu","prtcleis","prtclfie","prtclfit","prtclclt","prtclhnl","prtclcno","prtcljpl","prtclgpt","prtclbrs","prtclesk","prtclgsi","prtcldse","prtclhch","prtcldgb","prtdgcl","lrscale","stflife","stfeco","stfgov","stfdem","stfedu","stfhlth","gincdif","freehms","hmsfmlsh","hmsacld","euftf","lrnobed","loylead","imsmetn","imdfetn","impcntr","imbgeco","imueclt","imwbcnt","happy","sclmeet","inprdsc","sclact","crmvct","aesfdrk","health","hlthhmp","atchctr","atcherp","rlgblg","rlgdnm","rlgblge","rlgdnme","rlgdgr","rlgatnd","pray","dscrgrp","dscrrce","dscrntn","dscrrlg","dscrlng","dscretn","dscrage","dscrgnd","dscrsex","dscrdsb","dscroth","dscrdk","dscrref","dscrnap","dscrna","ctzcntr","brncntr","cntbrthd","livecnta","lnghom1","lnghom2","feethngr","facntr","fbrncntc","mocntr","mbrncntc","ccnthum","ccrdprs","wrclmch","vteurmmb","vteubcmb","ipcrtiva","impricha","ipeqopta","ipshabta","impsafea","impdiffa","ipfrulea","ipudrsta","ipmodsta","ipgdtima","impfreea","iphlppla","ipsucesa","ipstrgva","ipadvnta","ipbhprpa","iprspota","iplylfra","impenva","imptrada","impfuna","prob","stratum","psu"
"ESS11e02",11,"2.0","20.11.2024",50021,"HR",0.9089698,0.9251793,0.21126653,0.19545943,30,5,60,10,10,10,4,1,1,1,1,0,5,9,2,2,5,5,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,66,,,,,,,,,,,,,,,,,,,,,6,5,8,0,0,2,5,5,2,2,4,2,6,2,5,1,2,2,7,10,10,9,7,3,3,2,2,1,3,4,0,2,66,2,66,5,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"6666",6666,"HRV","000",1,1,"6666",1,"6666",3,5,3,1,,3,5,1,3,1,5,1,1,5,5,1,1,3,1,6,2,5,1,1,3,5,0.0012972681,717,9242
"ESS11e02",11,"2.0","20.11.2024",50076,"HR",1.0758152,1.4534653,0.21126653,0.3070686,20,5,60,10,10,9,4,2,5,3,1,5,4,6,3,3,5,5,1,,,77,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,66,,,,,,,,,,,,,,,,,,,,,6,77,9,6,6,7,4,4,2,4,2,4,88,4,4,2,2,2,88,6,5,6,4,1,3,2,3,2,3,10,8,1,1,6,66,8,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"6666",6666,"HRV","000",1,1,"6666",1,"6666",3,2,3,1,,5,5,2,5,3,5,2,4,3,4,3,3,5,5,5,4,5,4,5,4,4,0.0010960781,692,9108
"ESS11e02",11,"2.0","20.11.2024",50110,"HR",0.92566484,0.77181077,0.21126653,0.16305779,0,5,120,4,2,2,4,2,1,1,1,4,5,4,0,0,5,0,8,,,66,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,66,,,,,,,,,,,,,,,,,,,,,6,88,8,4,3,5,9,4,4,5,5,5,0,1,4,1,1,1,5,5,5,7,7,4,4,2,1,1,3,10,0,1,6,6,66,4,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,"BA",1986,"BOS","HRV",1,2,"BA",2,"BA",5,5,3,2,,1,2,2,1,1,3,3,2,5,3,1,1,1,2,5,2,1,1,2,4,4,0.0012738709,722,9219
"ESS11e02",11,"2.0","20.11.2024",50125,"HR",1.1277862,0.66101044,0.21126653,0.13964939,20,4,270,6,5,4,3,2,2,2,2,3,6,5,2,2,2,4,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,2,1,2,2,,,66,,,,,,,,,,,,,,,,,,,,,6,7,5,5,5,3,4,3,1,2,4,3,5,3,5,3,3,3,5,5,5,6,7,2,3,2,2,2,3,7,0,1,1,6,66,4,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"6666",6666,"HRV","000",1,1,"6666",1,"6666",3,5,3,2,,2,3,1,2,1,3,5,2,3,2,4,2,2,3,4,2,2,1,2,3,4,0.0010455683,677,8619
"ESS11e02",11,"2.0","20.11.2024",50147,"HR",0.9144896,0.93079776,0.21126653,0.19664642,5,5,600,5,7,5,3,3,3,3,3,2,2,3,1,1,2,0,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,66,,,,,,,,,,,,,,,,,,,,,6,5,7,2,0,2,4,4,2,3,2,4,3,3,4,8,8,8,3,5,5,8,6,2,3,2,2,2,3,7,5,1,2,6,66,6,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"6666",6666,"HRV","000",1,1,"6666",1,"6666",4,5,2,1,,4,5,5,4,6,6,4,3,3,5,3,3,3,3,4,3,3,3,4,4,5,0.0012894378,695,9272
"ESS11e02",11,"2.0","20.11.2024",50160,"HR",1.0955013,0.9544323,0.21126653,0.20163961,30,1,6666,5,5,6,3,2,1,2,2,3,5,9,4,0,6,8,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,1,,,5,,,,,,,,,,,,,,,,,,,,,3,7,6,4,5,7,8,9,2,5,1,5,6,1,3,3,4,2,4,3,3,7,2,4,2,2,2,1,3,10,4,2,66,2,66,0,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"6666",6666,"HRV","000",1,1,"6666",1,"6666",3,6,4,1,,6,6,1,4,1,6,2,5,1,6,2,2,6,2,6,1,3,2,1,5,5,0.0010763818,696,8833
"ESS11e02",11,"2.0","20.11.2024",50211,"HR",0.9089698,0.7508581,0.21126653,0.15863119,0,5,60,0,4,0,4,1,1,1,1,0,0,4,0,0,0,3,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,1,2,2,2,2,,,66,,,,,,,,,,,,,,,,,,,,,6,5,10,0,0,0,5,7,1,3,2,1,5,1,5,1,4,2,5,0,5,8,6,3,1,2,2,2,3,5,5,1,1,6,66,7,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"6666",6666,"HRV","000",1,1,"6666",1,"6666",3,5,3,1,,1,5,1,5,1,1,1,1,1,1,1,1,4,1,6,2,4,2,2,2,2,0.0012972681,717,9241
"ESS11e02",11,"2.0","20.11.2024",50236,"HR",1.1277862,0.859696,0.21126653,0.181625,45,5,600,9,9,9,3,3,2,1,2,1,3,4,0,0,5,5,1,,,10,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,2,2,2,1,,,17,,,,,,,,,,,,,,,,,,,,,2,0,7,1,0,1,8,7,5,2,4,2,10,5,5,1,1,1,7,9,9,8,6,2,3,2,2,1,3,6,7,2,66,1,1,0,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"6666",6666,"HRV","000",1,1,"6666",1,"6666",5,5,3,1,,3,4,2,4,1,5,6,2,4,3,1,1,1,2,6,2,3,1,6,6,4,0.0010455683,677,8616
"ESS11e02",11,"2.0","20.11.2024",50238,"HR",0.91350883,0.7958752,0.21126653,0.1681418,60,5,180,4,7,4,4,1,1,1,1,0,2,5,0,0,4,9,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,1,2,2,2,,,66,,,,,,,,,,,,,,,,,,,,,6,7,7,2,2,2,6,7,1,5,4,5,2,2,3,2,3,2,3,7,2,8,4,2,2,2,1,2,3,10,10,1,1,6,66,6,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"6666",6666,"BOS","HRV",1,2,"BA",1,"6666",3,1,2,88,,6,4,2,1,2,6,2,3,1,3,1,2,5,2,6,5,2,2,5,1,4,0.0012908223,684,9127
"ESS11e02",11,"2.0","20.11.2024",50324,"HR",1.0955013,0.90862745,0.21126653,0.19196257,180,1,6666,0,88,5,4,1,1,1,1,0,0,88,0,0,10,10,2,,,66,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,66,,,,,,,,,,,,,,,,,,,,,6,5,5,3,3,7,88,8,2,2,8,3,8,4,4,1,2,2,88,8,4,6,4,1,2,2,2,5,1,9,8,2,66,2,66,3,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"6666",6666,"HRV","000",1,1,"6666",1,"6666",5,88,5,1,,3,5,1,4,1,6,2,2,4,4,3,2,4,2,6,2,2,2,3,2,5,0.0010763818,696,8813
